Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,best_cv_f1,best_params
Logistic Regression,0.97,1.0,0.9434,0.9709,1.0,0.9782,"{'classifier__C': 10.0, 'classifier__solver': 'lbfgs'}"
Random Forest,0.89,0.8889,0.9057,0.8972,0.9699,0.9172,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 200}"
XGBoost,0.91,0.9231,0.9057,0.9143,0.9783,0.9382,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}"
